Folder,genotypes,location,hull,cotyledon,rep,4_sal,vanil_4gluc,querc_glucI,cat_13C,cat,epi_cat,cat_gluc,gallo,epi_gallo,epi_cat_gall,epi_gallo_gall,A2,B1,CC_I,CC_II,B2,CCC_I,CCC_II,C1,CCC_III,3_cinn,kaempf_rhamn,querc_di_glucI,kaemp_di_rut,malv_3galact,querc_3_4di_gluc,kaemp_3robin_7rhamn,lut_3_7di_gluc,lut_di_gluc,kaemp_rhamn_gluc_I,kaemp_rhamn_gluc_II,resv_3gluc,querc_3galact,querc_3rutin,querc_3gluc,myr_3rhamn,kaemp_3rutin,lut_7gluc,kaemp_7neohesp,kaem_3gluc,querc_3rhamn,apig_7gluc,querc_4gluc,lut_4gluc,myr,kaemp_rhamn_galact,querc_di_glucII,querc_glucII,4_coum,querc,lut,flavan,narin,apig,flav,kaemp,querc_glucIII,731.7,1155.9I,1155.9II,1444.1I,1444.1II,595.6I,595.6II,595.6IV,609.6,883.7I,883.7II,883.7IV,899.7I,899.7II,899.7III,915.6II,915.6III,915.6IV,1171.8I,1171.8II,1171.8III,1187.8I,1187.8II,1187.8III,1460.1I,1460.1II,1475.8I,1475.8II,1492.2I,1492.2II,1748.2,1764.4,1204.8I,1204.8II,1204.8III,1509.2I,1509.2II,1525.1
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_146 ,STH,brown,red,3,1,0.246699806,0.100458532,1,0.616302277,0.019288422,7.913565447,0.252228983,0.004858175,0.002158908,0.000436771,0.004524479,0.229529787,0.938847871,0.121225724,0.016214854,1.839570472,0.261486014,0.001048583,0.328785322,1,56.27499474,0.327864351,546.7921548,0,0.001175715,19.57425629,0.001614754,1.433043563,0.349899041,0.110363302,0.331384575,0.004650783,0.093081574,0.017217454,0.186530002,0.036432998,0.050826363,0.004043313,0.077999656,0.249120438,0.022991544,0.002482944,0.370989071,0.004492241,5.168929872,0.516593504,0.219724922,1,0.001913104,0.000222335,0.011916352,0.000525163,0.002806489,0.000239863,0.000514512,0.018666892,0.632826604,3.911180664,3.791207709,0.976440202,1.047954291,2.82445515,1.56574827,12.06031377,0.891966711,25.61098906,6.543968724,1.03233521,5.019162586,2.874198863,20.55405306,0.927460136,1.477010197,1.487925356,8.197364208,4.288910842,3.212513754,13.44442673,3.935403984,1.641315285,1.701886855,1.452669233,3.82717544,1.955029768,2.118405403,0.644258937,0.4709969,0.617798505,2.634656806,2.219222631,4.911929176,1.209677534,0.451231627,0.71615757
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_146 ,STH,brown,red,2,1,0.23185081,0.003522892,1,0.534111774,0.01389077,5.073656055,0.163886334,0.00318238,0.001466859,0.001647842,0.000337974,0.068490415,1.100709111,0.111998997,0.002321122,2.253495842,0.332984974,0.009717786,0.320313523,1,41.11961313,0.239749849,526.5557416,0.011914617,0.005505029,26.31097471,0,1.187290952,0.122793764,0.11257823,0.115371661,0.057127098,0.046428655,0.053681081,0.093077612,0.024749512,0.035810427,0,0.034556804,0.284336097,0.028786164,0.005515431,0.70024802,0.00638231,7.22981056,0.314817182,0.185645962,1,0,0.001230605,0.002723587,0.000940675,0.001210592,0.000318504,0.000297797,0.013330652,1.007761357,5.613121758,5.570498751,1.666237752,1.238227597,2.972164677,1.854194014,15.23334089,1.453688625,31.88440481,7.932158919,1.395979648,5.480379208,3.161815622,25.38367929,1.245898226,1.459772872,1.496844172,11.22937311,5.70580626,3.368357544,15.33836486,4.774166448,2.427707814,2.332104229,2.378095903,4.873891215,2.598429279,2.94253761,1.657147665,1.076615986,0.982398744,2.851396408,2.424832827,5.947191754,1.461536148,0.538614135,0.848643659
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\140806.LR-18-2013.STH.xlsx\STH,SPG.R",LR18_STH_2013_B_R_146 ,STH,brown,red,1,1,0.293518841,0.022234399,1,0.55493373,0.010508312,7.236138748,0.165416653,0.009034481,0.003367247,0.001842862,0.000644677,0.10661396,1.090054871,0.111414348,0.023930835,2.409083085,0.342448596,0.001751804,0.333963422,1,46.99492397,0.2835868,587.9208122,0.008323232,0.005237181,22.00365823,0,1.917232811,0.321952558,0.130779727,0.119101953,0.025879309,0.06753125,0.0161057,0.120505497,0.006857147,0.076106974,0,0.064387312,0.267430194,0.02668711,0.002021976,0.7549564,0.016225256,4.959589578,0.241423766,0.227230958,1,0,0.00403481,0.00535845,0.001366619,0.003628924,0.001778771,0.001017131,0.02068912,0.915102478,5.553133246,5.826573216,1.634034998,1.501034085,2.870011103,2.142014421,14.07305773,1.138523171,28.60173663,7.174368206,1.473918024,5.433331707,2.834134965,22.86875808,1.176296937,1.333733287,1.650849873,10.82056502,5.454464696,3.14884302,15.02010553,4.452038716,2.055955249,2.267681648,2.024611071,5.040313011,2.555791573,2.527744269,1.327607139,0.973109256,1.048615667,2.865234841,2.450090353,5.477946836,1.152951571,0.539028806,0.919428752
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_179 ,STH,brown,red,3,1,0.199562129,0.009655666,1,0.545601833,0.026534863,5.07092098,0.337442107,0.003163442,0.001628814,0.001101091,0.002388194,0.179500822,1.09697889,0.107713883,0.001999277,2.087049234,0.308467388,0.002226075,0.295168932,1,28.0678241,0.215700251,318.6921916,0,0.004090256,6.003904304,0.008285605,1.873153592,0.346679948,0.13402559,0.054530934,0.021432679,0.06864174,0.026797417,0.052478219,0.004734632,0.041255212,0,0.043920367,0.099002815,0.06656932,0.009874461,0.340762112,0.001450015,3.12983024,0.304238134,0.11102829,1,0.002262165,0.001113756,0.004409518,0.001010912,0.002058076,0.000821505,0.000611919,0.033511918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_179 ,STH,brown,red,2,1,0.164048896,0.008264273,1,0.546259687,0.013789892,4.507364996,0.326874617,0.007676685,0.00219103,0.000465122,0.002348577,0.112033298,1.075938365,0.111379049,0.02686575,2.159462226,0.313425567,0.011842685,0.30002041,1,29.39892716,0.326712451,402.5765432,0,0.014117932,7.283285592,0,5.071638259,0.349025905,0.29846391,0.15813592,0.011790111,0.079408782,0.020012543,0.044977405,0.002787291,0.026318142,0,0.064884532,0.144914466,0.021729442,0.010583834,0.567551507,0.001511182,4.180603494,0.482674892,0.160977253,1,0,0.001098954,0.003074287,0.001018669,0.000644774,0.00025887,0.000491587,0.022105894,0.906025586,4.861068592,4.665754354,1.524314247,1.275415177,2.87515959,1.972336031,16.59073082,1.167477161,28.23283478,7.161347304,1.31978261,5.433533578,3.196386912,26.83896116,1.687852368,1.485443345,1.651618211,10.73062317,5.21443124,3.657918822,15.55539517,4.441494151,2.145561592,2.156482717,2.276261478,4.936293739,2.474293737,3.070695248,1.307651348,0.924205429,1.045242071,2.761719926,2.804932434,6.066806144,1.620384724,0.953261414,1.04397331
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_179 ,STH,brown,red,1,1,0.231600217,0.005797363,1,0.660716639,0.012858789,5.465615405,0.508853169,0.007347461,0.001198265,0.001020805,0.007134707,0.149127527,1.193910937,0.126023415,0.013883874,2.38973248,0.3595897,0.019246123,0.324547812,1,35.12295908,0.235088772,432.0254656,0.007478207,0.005434359,7.853364946,0,2.634933001,0.633457175,0.147366627,0.135368098,0.022817601,0.06371649,0.011648646,0.127221073,0.010136499,0.02590379,0.002211912,0.047262758,0.132726999,0.01828159,0.011389243,0.429387832,0.003289715,4.748062696,0.367923229,0.097193695,1,0,0.000817137,0.006036888,0.003172007,0.001572129,0.000479326,0.000410645,0.02324135,1.176516556,6.765270492,6.866439637,2.173372099,1.674106414,3.680713158,2.707347807,19.6282141,1.426642348,35.78671019,8.463097011,1.834022185,6.790546478,4.856888504,32.0052189,1.974790545,1.921306921,1.844538306,13.05001155,6.240468019,4.262529024,19.66006746,5.873058071,2.605331245,2.46324319,2.722851017,6.399466609,2.870520949,3.74731342,1.361341346,1.239024576,1.245977377,3.462824708,3.239933868,7.502681875,2.116371252,0.879104147,1.177968554
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_53 ,STH,brown,red,3,1,0.166121451,0.091003229,1,0.515136808,0.028370457,5.229333054,0.230245275,0.01147152,0.001195276,0.007602907,0.004350778,0.151165391,0.979636869,0.094343193,0.013280464,1.993292711,0.273464981,0.015165015,0.257643448,1,25.81550415,0.409910554,332.6848531,0.005009026,0.013250174,7.191391703,0.010657099,1.459066816,0.238609767,0.101847515,0.168188889,0.089040298,0.081204323,0.094155359,0.203720569,0.001000312,0.107729761,0.011962821,0.106530522,0.280634214,0.188462154,0.057924148,0.687875528,0.002600243,2.96482182,0.272233864,0.101124686,1,0.000387013,0.002444142,0.003345453,0.001791447,0.000147129,0.002128636,0.000363255,0.03303483,0.8419924,4.339446603,3.896908966,1.09537761,1.066705244,2.364004155,0.91115422,11.60124462,0.870405405,23.94632647,6.120892881,1.128805546,4.487972492,2.438599346,21.25946288,0.877146425,0.996154736,1.776141838,8.980686768,4.246848346,3.106510725,12.78159031,3.566558961,1.61988718,2.006066996,1.599264262,4.367025964,1.748653166,2.629411209,1.337320355,0.693280876,0.841525108,2.646884825,1.975512458,4.820506827,1.324486446,0.590649761,0.744396534
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_53 ,STH,brown,red,2,1,0.353171901,0.013315766,1,0.460922263,0.016828761,5.200010744,0.206103287,0.011189356,0.001968171,0.001132618,0.002377852,0.115778493,0.799814614,0.089227326,0.001636445,1.65489972,0.227453886,0.022483966,0.230622825,1,40.54242774,0.535805063,501.0678252,0.009347748,0.013298718,7.568040848,0,5.55208615,0.636917393,0.224519213,0.149240421,0.099283154,0.058265002,0.100266449,0.211105253,0.024601197,0.03841425,0.000726514,0.082499075,0.369983719,0.031396091,0.003994797,0.916629005,0.002068684,3.932154445,0.493324086,0.221229016,1,1.97E-05,0.000522552,0.004812239,0.00143458,0.002487198,0.000640943,0.001912219,0.026424206,0.787247793,2.946657323,3.132413618,0.802458142,0.986304751,2.462307463,1.975594074,10.49228642,0.858142846,20.99421185,5.522082947,0.96750005,4.256959413,2.894630549,18.02200608,0.970571055,1.023631402,1.27508847,6.636741859,3.748214548,2.503400151,11.06818799,3.563923237,1.564029228,1.200973078,1.264944654,3.345810908,1.568253765,2.038908799,1.108475758,0.544220582,0.548878223,1.885516581,1.95734709,4.597473015,1.103838858,0.439145059,0.666144053
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_53 ,STH,brown,red,1,1,0.302934197,0.017182762,1,0.434539762,0.017054523,5.667858919,0.220204664,0.006930674,0.00190675,0.000320919,0.004106003,0.133976262,0.838875357,0.098604281,0.018009004,1.726352627,0.208970115,0.003201183,0.238916594,1,32.17477613,0.368287984,452.2801965,0.013329409,0.007401177,6.945104843,0.030871375,3.500441331,0.615117953,0.308744935,0.197054736,0.009678111,0.078527977,0.00657296,0.094538235,0.026954799,0.026700553,0.000629857,0.045430516,0.22156926,0.073419566,0.005171733,0.887340791,0.01061666,2.388019578,0.566505533,0.286705226,1,0.000907131,0.000349326,0.004245021,0.001521947,0.000199266,0.001860923,0.000813541,0.025350253,0.742331925,3.727109021,3.901531846,1.042987567,0.966270524,2.861912065,2.179066151,11.97003793,1.011936352,24.39068188,5.865219318,1.176026183,4.491408592,2.902564735,20.25114782,1.144552029,1.376365564,1.523314332,7.879618705,3.807975439,2.541711807,12.87093187,4.003206192,1.639765495,1.442359081,1.204117353,3.92034239,1.818706477,2.563337748,1.179363833,0.680964265,0.586436112,2.067322166,2.226204228,5.601500305,1.136417058,0.622827254,0.854204137
"D:\newly added\Others.190713\Academic\PhD\data\paper\140205.LR18\140205.LR-18-2013\R.2locations.SIR\STH,SPG.R",LR18_STH_2013_B_R_58 ,STH,brown,red,3,1,0.246259936,0.186254552,1,0.678499641,0.019909695,14.32855914,0.424224892,0.019737058,0.00518725,0.01034816,0.004170191,0.176304729,1.20668576,0.080493055,0.041246342,2.180473972,0.335525624,0.02536907,0.331830326,1,40.93546621,0.360334018,479.1621146,0,0.022320132,14.64213243,0,1.083740981,0.364000915,0.391337486,0.183230468,0.087429727,0.132401593,0.082878559,0.338025454,0.009859365,0.188852273,0.045444847,0.028925174,0.543523357,0.08616887,0.044528444,2.993532483,0.016957953,7.124418733,0.63792186,0.336985664,1,0.005705629,0.002633607,0.020131545,0.004354822,0.009777,0.002109533,0.003911475,0.092648146,1.046307908,4.521299716,4.113081603,1.179298122,1.13912005,3.621978491,1.29414581,17.92530477,1.136180972,30.89911994,7.408417141,1.276448653,5.920533496,3.656900018,30.79860409,1.432825385,1.447482728,2.174654174,9.813041997,4.5608005,3.319991022,15.34762498,4.590786746,1.825044902,1.892678692,1.69167575,4.635218306,1.921491753,3.043795982,1.288939988,0.910597471,0.95295404,3.198001878,2.485014408,6.792502251,1.4024443,0.648229869,0.859193554
